group,sample,duration,channels,frames,rate,file
tabla,tabla_ghe4,0.796,1,35108,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe4.flac
tabla,tabla_ghe5,3.56,1,156998,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe5.flac
tabla,tabla_ghe6,3.601,1,158810,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe6.flac
tabla,tabla_ghe7,2.151,1,94871,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe7.flac
tabla,tabla_ghe8,0.582,1,25657,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ghe8.flac
tabla,tabla_ke1,0.043,1,1915,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ke1.flac
tabla,tabla_ke2,0.044,1,1942,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ke2.flac
tabla,tabla_ke3,0.076,1,3339,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_ke3.flac
tabla,tabla_na,0.72,1,31744,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_na.flac
tabla,tabla_na_o,1.489,1,65664,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_na_o.flac
tabla,tabla_na_s,0.236,1,10400,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_na_s.flac
tabla,tabla_re,0.282,1,12416,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_re.flac
tabla,tabla_tas1,1.112,1,49024,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_tas1.flac
tabla,tabla_tas2,1.434,1,63232,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_tas2.flac
tabla,tabla_tas3,1.236,1,54528,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_tas3.flac
tabla,tabla_te1,0.178,1,7840,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_te1.flac
tabla,tabla_te2,0.332,1,14656,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_te2.flac
tabla,tabla_te_m,0.289,1,12736,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_te_m.flac
tabla,tabla_te_ne,0.153,1,6752,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_te_ne.flac
tabla,tabla_tun1,2.339,1,103168,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_tun1.flac
tabla,tabla_tun2,2.694,1,118784,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_tun2.flac
tabla,tabla_tun3,2.096,1,92416,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/tabla_tun3.flac
vinyl,vinyl_backspin,1.061,2,46801,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/vinyl_backspin.flac
vinyl,vinyl_hiss,8.0,2,352800,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/vinyl_hiss.flac
vinyl,vinyl_rewind,2.68,2,118209,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/vinyl_rewind.flac
vinyl,vinyl_scratch,0.274,1,12076,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/vinyl_scratch.flac
